epoch,device,acc_local,acc_global
0,initial,0.000000,0.100700
0,device000,0.123000,0.110000
0,device001,0.128000,0.114400
0,device002,0.117000,0.114000
0,device003,0.131000,0.120600
0,device004,0.123000,0.120700
0,device005,0.122000,0.118700
0,device006,0.109000,0.125000
0,device007,0.121000,0.123000
0,device008,0.136000,0.124300
0,device009,0.123000,0.126100
0,device010,0.150000,0.127500
0,device011,0.132000,0.130400
0,device012,0.134000,0.133600
0,device013,0.141000,0.133900
0,device014,0.147000,0.136800
0,device000,0.146000,0.141900
0,device001,0.169000,0.139600
0,device002,0.147000,0.140300
0,device003,0.156000,0.142000
0,device004,0.135000,0.149500
0,device005,0.173000,0.148300
0,device006,0.159000,0.154300
0,device007,0.141000,0.155600
0,device008,0.168000,0.156100
0,device009,0.181000,0.155900
0,device010,0.143000,0.165500
0,device011,0.167000,0.158700
0,device012,0.156000,0.162000
0,device013,0.156000,0.163300
0,device014,0.171000,0.167000
0,device000,0.179000,0.166800
0,device001,0.171000,0.173000
0,device002,0.175000,0.171300
0,device003,0.188000,0.178800
0,device004,0.188000,0.177000
0,device005,0.204000,0.174200
0,device006,0.188000,0.179100
0,device007,0.192000,0.182600
0,device008,0.202000,0.183900
0,device009,0.188000,0.182300
0,device010,0.182000,0.185700
0,device011,0.201000,0.190100
0,device012,0.210000,0.192500
0,device013,0.186000,0.191800
0,device014,0.197000,0.196500
0,device000,0.210000,0.199200
0,device001,0.194000,0.191000
0,device002,0.204000,0.200800
0,device003,0.219000,0.198400
0,device004,0.216000,0.207800
0,device005,0.199000,0.207500
0,device006,0.224000,0.208200
0,device007,0.220000,0.208300
0,device008,0.222000,0.211800
0,device009,0.210000,0.218900
0,device010,0.205000,0.213900
0,device011,0.225000,0.215100
0,device012,0.242000,0.220200
0,device013,0.226000,0.213200
0,device014,0.231000,0.220800
0,aggregator01,0.000000,0.124600
0,aggregator02,0.000000,0.153500
0,aggregator03,0.000000,0.182700
0,aggregator03,0.000000,0.205700
0,root,0.000000,0.161800
1,device000,0.161000,0.166700
1,device001,0.182000,0.170100
1,device002,0.184000,0.170000
1,device003,0.177000,0.178600
1,device004,0.187000,0.176400
1,device005,0.188000,0.176100
1,device006,0.180000,0.176600
1,device007,0.188000,0.183000
1,device008,0.197000,0.179600
1,device009,0.202000,0.184300
1,device010,0.181000,0.187800
1,device011,0.199000,0.195700
1,device012,0.208000,0.190300
1,device013,0.187000,0.195000
1,device014,0.223000,0.202600
1,device000,0.208000,0.196800
1,device001,0.201000,0.198600
1,device002,0.194000,0.203100
1,device003,0.216000,0.208000
1,device004,0.210000,0.210200
1,device005,0.200000,0.207600
1,device006,0.221000,0.213800
1,device007,0.203000,0.212900
1,device008,0.225000,0.212900
1,device009,0.228000,0.220400
1,device010,0.232000,0.219300
1,device011,0.216000,0.220300
1,device012,0.239000,0.222400
1,device013,0.241000,0.222800
1,device014,0.227000,0.225400
1,device000,0.231000,0.226900
1,device001,0.226000,0.227300
1,device002,0.239000,0.227700
1,device003,0.246000,0.234900
1,device004,0.243000,0.229700
1,device005,0.232000,0.231000
1,device006,0.236000,0.235900
1,device007,0.244000,0.236000
1,device008,0.241000,0.242000
1,device009,0.246000,0.241000
1,device010,0.255000,0.243400
1,device011,0.232000,0.248200
1,device012,0.229000,0.250600
1,device013,0.254000,0.245300
1,device014,0.282000,0.253200
1,device000,0.240000,0.250100
1,device001,0.259000,0.248400
1,device002,0.256000,0.258900
1,device003,0.259000,0.256000
1,device004,0.249000,0.265600
1,device005,0.273000,0.253600
1,device006,0.249000,0.255600
1,device007,0.279000,0.261200
1,device008,0.256000,0.264600
1,device009,0.268000,0.268900
1,device010,0.253000,0.266500
1,device011,0.239000,0.267000
1,device012,0.267000,0.275200
1,device013,0.272000,0.269500
1,device014,0.324000,0.265800
1,aggregator01,0.000000,0.180500
1,aggregator02,0.000000,0.217200
1,aggregator03,0.000000,0.237100
1,aggregator03,0.000000,0.263700
1,root,0.000000,0.224200
2,device000,0.236000,0.225900
2,device001,0.210000,0.224700
2,device002,0.226000,0.229600
2,device003,0.243000,0.229200
2,device004,0.256000,0.237700
2,device005,0.225000,0.235800
2,device006,0.253000,0.236400
2,device007,0.231000,0.238000
2,device008,0.252000,0.241700
2,device009,0.235000,0.244600
2,device010,0.252000,0.248100
2,device011,0.241000,0.250200
2,device012,0.246000,0.242800
2,device013,0.241000,0.251200
2,device014,0.275000,0.249800
2,device000,0.241000,0.252600
2,device001,0.281000,0.253200
2,device002,0.267000,0.251100
2,device003,0.255000,0.249800
2,device004,0.253000,0.260400
2,device005,0.251000,0.259400
2,device006,0.273000,0.260400
2,device007,0.283000,0.267000
2,device008,0.259000,0.268600
2,device009,0.249000,0.271000
2,device010,0.291000,0.267600
2,device011,0.259000,0.271100
2,device012,0.256000,0.272200
2,device013,0.287000,0.272400
2,device014,0.276000,0.270500
2,device000,0.273000,0.276800
2,device001,0.267000,0.274000
2,device002,0.280000,0.280000
2,device003,0.277000,0.278600
2,device004,0.311000,0.276000
2,device005,0.267000,0.280300
2,device006,0.279000,0.280800
2,device007,0.264000,0.282500
2,device008,0.286000,0.282400
2,device009,0.281000,0.285900
2,device010,0.303000,0.288700
2,device011,0.267000,0.290000
2,device012,0.314000,0.293100
2,device013,0.276000,0.292200
2,device014,0.290000,0.291100
2,device000,0.282000,0.292900
2,device001,0.289000,0.293200
2,device002,0.307000,0.298000
2,device003,0.326000,0.295600
2,device004,0.311000,0.300400
2,device005,0.296000,0.302300
2,device006,0.306000,0.302500
2,device007,0.290000,0.298800
2,device008,0.289000,0.301000
2,device009,0.313000,0.305800
2,device010,0.311000,0.314200
2,device011,0.304000,0.309300
2,device012,0.284000,0.308600
2,device013,0.312000,0.319000
2,device014,0.289000,0.316400
2,aggregator01,0.000000,0.239300
2,aggregator02,0.000000,0.267100
2,aggregator03,0.000000,0.284200
2,aggregator03,0.000000,0.304000
2,root,0.000000,0.274000
3,device000,0.301000,0.270900
3,device001,0.245000,0.272800
3,device002,0.270000,0.277500
3,device003,0.281000,0.275300
3,device004,0.291000,0.282000
3,device005,0.271000,0.283600
3,device006,0.297000,0.284500
3,device007,0.312000,0.282800
3,device008,0.288000,0.283500
3,device009,0.279000,0.284000
3,device010,0.276000,0.278200
3,device011,0.291000,0.294300
3,device012,0.308000,0.289200
3,device013,0.323000,0.290200
3,device014,0.301000,0.291000
3,device000,0.304000,0.290000
3,device001,0.290000,0.293400
3,device002,0.283000,0.297400
3,device003,0.275000,0.300600
3,device004,0.290000,0.295700
3,device005,0.313000,0.306200
3,device006,0.313000,0.301200
3,device007,0.298000,0.311000
3,device008,0.326000,0.308600
3,device009,0.322000,0.303200
3,device010,0.306000,0.307400
3,device011,0.317000,0.301600
3,device012,0.335000,0.306500
3,device013,0.289000,0.308800
3,device014,0.323000,0.309400
3,device000,0.320000,0.310700
3,device001,0.320000,0.313100
3,device002,0.326000,0.314800
3,device003,0.305000,0.320700
3,device004,0.326000,0.322800
3,device005,0.293000,0.320600
3,device006,0.307000,0.315700
3,device007,0.308000,0.324400
3,device008,0.333000,0.325000
3,device009,0.310000,0.319700
3,device010,0.314000,0.322000
3,device011,0.335000,0.329300
3,device012,0.334000,0.329200
3,device013,0.338000,0.319000
3,device014,0.333000,0.336300
3,device000,0.338000,0.326800
3,device001,0.314000,0.333400
3,device002,0.319000,0.333400
3,device003,0.341000,0.327300
3,device004,0.343000,0.330600
3,device005,0.326000,0.328400
3,device006,0.345000,0.331400
3,device007,0.343000,0.331200
3,device008,0.310000,0.340500
3,device009,0.313000,0.344600
3,device010,0.335000,0.349500
3,device011,0.350000,0.344500
3,device012,0.368000,0.345000
3,device013,0.368000,0.342600
3,device014,0.355000,0.338300
3,aggregator01,0.000000,0.283800
3,aggregator02,0.000000,0.301500
3,aggregator03,0.000000,0.322400
3,aggregator03,0.000000,0.336800
3,root,0.000000,0.312200
4,device000,0.324000,0.305100
4,device001,0.302000,0.312100
4,device002,0.322000,0.320400
4,device003,0.340000,0.320500
4,device004,0.318000,0.315400
4,device005,0.318000,0.319500
4,device006,0.327000,0.324600
4,device007,0.326000,0.316700
4,device008,0.355000,0.321800
4,device009,0.316000,0.320300
4,device010,0.311000,0.325000
4,device011,0.325000,0.322400
4,device012,0.316000,0.325500
4,device013,0.331000,0.327900
4,device014,0.346000,0.329000
4,device000,0.323000,0.328600
4,device001,0.312000,0.328800
4,device002,0.352000,0.328300
4,device003,0.305000,0.320200
4,device004,0.345000,0.330100
4,device005,0.332000,0.330900
4,device006,0.340000,0.327100
4,device007,0.345000,0.335600
4,device008,0.332000,0.332200
4,device009,0.329000,0.332500
4,device010,0.333000,0.335900
4,device011,0.338000,0.339100
4,device012,0.341000,0.338100
4,device013,0.359000,0.339500
4,device014,0.354000,0.339200
4,device000,0.356000,0.342800
4,device001,0.342000,0.347800
4,device002,0.330000,0.344400
4,device003,0.352000,0.341500
4,device004,0.350000,0.343500
4,device005,0.337000,0.347500
4,device006,0.342000,0.348800
4,device007,0.332000,0.343400
4,device008,0.373000,0.345500
4,device009,0.347000,0.346800
4,device010,0.322000,0.345400
4,device011,0.349000,0.345200
4,device012,0.363000,0.356800
4,device013,0.348000,0.348200
